개정일시,교과,학교급,교육과정,과목,영역,지식이해,성취기준,학습요소,유의사항,평가방법 및 유의사항
2015개정,수학,고등학교,공통 과목,공통수학,문자와 식,다항식의 연산,[10수학01-01]다항식의 사칙연산을 할 수 있다.,,,
2015개정,수학,고등학교,공통 과목,공통수학,문자와 식,나머지 정리,[10수학01-02]항등식의 성질을 이해한다.,,,
2015개정,수학,고등학교,공통 과목,공통수학,문자와 식,나머지 정리,"[10수학01-03]나머지정리의 의미를 이해하고, 이를 활용하여 문제를 해결할 수 있다.",,,
2015개정,수학,고등학교,공통 과목,공통수학,문자와 식,인수분해,[10수학01-04]다항식의 인수분해를 할 수 있다.,,,
2015개정,수학,고등학교,공통 과목,공통수학,문자와 식,복소수와 이차방정식,[10수학01-05]복소수의 뜻과 성질을 이해하고 사칙연산을 할 수 있다.,,,
2015개정,수학,고등학교,공통 과목,공통수학,문자와 식,복소수와 이차방정식,[10수학01-06]이차방정식의 실근과 허근의 뜻을 안다.,,,
2015개정,수학,고등학교,공통 과목,공통수학,문자와 식,복소수와 이차방정식,[10수학01-07]이차방정식에서 판별식의 의미를 이해하고 이를 설명할 수 있다.,,,
2015개정,수학,고등학교,공통 과목,공통수학,문자와 식,복소수와 이차방정식,[10수학01-08]이차방정식의 근과 계수의 관계를 이해한다.,,,
2015개정,수학,고등학교,공통 과목,공통수학,문자와 식,이차방정식과 이차함수,[10수학01-09]이차방정식과 이차함수의 관계를 이해한다.,,,
2015개정,수학,고등학교,공통 과목,공통수학,문자와 식,이차방정식과 이차함수,[10수학01-10]이차함수의 그래프와 직선의 위치 관계를 이해한다.,,,
2015개정,수학,고등학교,공통 과목,공통수학,문자와 식,이차방정식과 이차함수,"[10수학01-11]이차함수의 최대, 최소를 이해하고, 이를 활용하여 문제를 해결할 수 있다.",,,
2015개정,수학,고등학교,공통 과목,공통수학,문자와 식,여러 가지 방정식과 부등식,[10수학01-12]간단한 삼차방정식과 사차방정식을 풀 수 있다.,,,
2015개정,수학,고등학교,공통 과목,공통수학,문자와 식,여러 가지 방정식과 부등식,[10수학01-13]미지수가 2개인 연립이차방정식을 풀 수 있다.,,,
2015개정,수학,고등학교,공통 과목,공통수학,문자와 식,여러 가지 방정식과 부등식,[10수학01-14]미지수가 1개인 연립일차부등식을 풀 수 있다.,,,
2015개정,수학,고등학교,공통 과목,공통수학,문자와 식,여러 가지 방정식과 부등식,[10수학01-15]절댓값을 포함한 일차부등식을 풀 수 있다.,,,
2015개정,수학,고등학교,공통 과목,공통수학,문자와 식,여러 가지 방정식과 부등식,"[10수학01-16]이차부등식과 이차함수의 관계를 이해하고, 이차부등식과 연립이차부등식을 풀 수 있다.",,,
2015개정,수학,고등학교,공통 과목,공통수학,기하,평면좌표,[10수학02-01]두 점 사이의 거리를 구할 수 있다.,,,
